10000m Men,Gold,Ethiopia,Great Britain,Great Britain,,
10000m Men,Silver,Ethiopia,United States,Kenya,,
10000m Men,Bronze,Kenya,Ethiopia,Ethiopia,,
10000m Women,Gold,Ethiopia,Ethiopia,Ethiopia,,
10000m Women,Silver,United States,Kenya,Kenya,,
10000m Women,Bronze,Kenya,Kenya,Ethiopia,,
100m Hurdles Women,Gold,United States,Australia,United States,,
100m Hurdles Women,Silver,Australia,United States,United States,,
100m Hurdles Women,Bronze,Canada,United States,United States,,
100m Men,Gold,Jamaica,Trinidad and Tobago,United States,,
100m Men,Silver,Jamaica,Jamaica,United States,,
100m Men,Bronze,Jamaica,United States,Canada,,
100m Women,Gold,Jamaica,Jamaica,Jamaica,,
100m Women,Silver,Jamaica,United States,Jamaica,,
100m Women,Bronze,Jamaica,United States,Jamaica,,
110m Hurdles Men,Gold,Cuba,United States,Jamaica,,
110m Hurdles Men,Silver,United States,United States,Spain,,
110m Hurdles Men,Bronze,United States,Jamaica,France,,
1500m Men,Gold,Kenya,Algeria,United States,,
1500m Men,Silver,New Zealand,United States,Algeria,,
1500m Men,Bronze,France,Morocco,New Zealand,,
1500m Women,Gold,Kenya,Bahrain,Kenya,,
1500m Women,Silver,Ukraine,Russia,Ethiopia,,
1500m Women,Bronze,Ukraine,Ethiopia,United States,,
200m Men,Gold,Jamaica,Jamaica,Jamaica,,
200m Men,Silver,United States,Jamaica,Canada,,
200m Men,Bronze,United States,Jamaica,Jamaica,,
200m Women,Gold,Jamaica,United States,Jamaica,,
200m Women,Silver,United States,Jamaica,Netherlands,,
200m Women,Bronze,Jamaica,United States,United States,,
20km Race Walk Women,Gold,Russia,China,China,,
20km Race Walk Women,Silver,Norway,China,Mexico,,
20km Race Walk Women,Bronze,Italy,China,China,,
20km Walk Men,Gold,Russia,China,China,,
20km Walk Men,Silver,Ecuador,Guatemala,China,,
20km Walk Men,Bronze,Australia,China,Australia,,
3000m Steeplechase Men,Gold,Kenya,Kenya,Kenya,,
3000m Steeplechase Men,Silver,France,France,United States,,
3000m Steeplechase Men,Bronze,Kenya,Kenya,France,,
3000m Steeplechase Women,Gold,Russia,Tunisia,Bahrain,,
3000m Steeplechase Women,Silver,Kenya,Ethiopia,Kenya,,
3000m Steeplechase Women,Bronze,Russia,Kenya,United States,,
400m Hurdles Men,Gold,United States,Dominican Republic,United States,,
400m Hurdles Men,Silver,United States,United States,Kenya,,
400m Hurdles Men,Bronze,United States,Puerto Rico,Turkey,,
400m Hurdles Women,Gold,Jamaica,Russia,United States,United States,
400m Hurdles Women,Silver,United States,Czech Republic,Denmark,,
400m Hurdles Women,Bronze,Great Britain,Jamaica,United States,,
400m Men,Gold,United States,Grenada,South Africa,,
400m Men,Silver,United States,Dominican Republic,Grenada,,
400m Men,Bronze,United States,Trinidad and Tobago,United States,,
400m Women,Gold,Great Britain,United States,Bahamas,,
400m Women,Silver,Jamaica,Great Britain,United States,,
400m Women,Bronze,United States,United States,Jamaica,,
4x100m Relay Men,Gold,Trinidad and Tobago,Jamaica,Jamaica,,
4x100m Relay Men,Silver,Japan,Trinidad and Tobago,Japan,,
4x100m Relay Men,Bronze,Brazil,France,Canada,,
4X100m Relay Women,Gold,Belgium,United States,United States,,
4x100m Relay Women,Silver,Nigeria,Jamaica,Jamaica,,
4x100m Relay Women,Bronze,Brazil,Ukraine,Great Britain,,
4x400m Relay Men,Gold,United States,Bahamas,United States,,
4x400m Relay Men,Silver,Bahamas,United States,Jamaica,,
4x400m Relay Men,Bronze,Great Britain,Trinidad and Tobago,Bahamas,,
4x400m Relay Women,Gold,United States,United States,United States,,
4x400m Relay Women,Silver,Jamaica,Jamaica,Jamaica,,
4x400m Relay Women,Bronze,Great Britain,Ukraine,Great Britain,,
5000m Men,Gold,Ethiopia,Great Britain,Great Britain,,
5000m Men,Silver,Kenya,Ethiopia,United States,,
5000m Men,Bronze,Kenya,Kenya,Ethiopia,,
5000m Women,Gold,Ethiopia,Ethiopia,Kenya,,
5000m Women,Silver,Ethiopia,Kenya,Kenya,,
5000m Women,Bronze,Kenya,Ethiopia,Ethiopia,,
50km Walk Men,Gold,Italy,Australia,Slovakia,,
50km Walk Men,Silver,Australia,China,Australia,,
50km Walk Men,Bronze,Russia,Ireland,Japan,,
800m Men,Gold,Kenya,Kenya,Kenya,,
800m Men,Silver,Sudan,Botswana,Algeria,,
800m Men,Bronze,Kenya,Kenya,United States,,
800m Women,Gold,Kenya,South Africa,South Africa,,
800m Women,Silver,Kenya,Russia,Burundi,,
800m Women,Bronze,Morocco,Kenya,Kenya,,
Decathlon Men,Gold,United States,United States,United States,,
Decathlon Men,Silver,Belarus,United States,France,,
Decathlon Men,Bronze,Cuba,Cuba,Canada,,
Discus Throw Men,Gold,Estonia,Germany,Germany,,
Discus Throw Men,Silver,Poland,Iran,Poland,,
Discus Throw Men,Bronze,Lithuania,Estonia,Germany,,
Discus Throw Women,Gold,United States,Croatia,Croatia,,
Discus Throw Women,Silver,Ukraine,China,France,,
Discus Throw Women,Bronze,China,Cuba,Cuba,,
Hammer Throw Men,Gold,Slovenia,Hungary,Tajikistan,,
Hammer Throw Men,Silver,Belarus,Slovenia,Belarus,,
Hammer Throw Men,Bronze,Belarus,Japan,Poland,,
Hammer Throw Women,Gold,Cuba,Poland,Poland,,
Hammer Throw Women,Silver,China,Germany,China,,
Hammer Throw Women,Bronze,France,China,Great Britain,,
Heptathlon Women,Gold,Ukraine,Great Britain,Belgium,,
Heptathlon Women,Silver,United States,Germany,Great Britain,,
Heptathlon Women,Bronze,Great Britain,Lithuania,Canada,,
High Jump Men,Gold,Russia,United States,Canada,,
High Jump Men,Silver,Great Britain,Qatar,Canada,Great Britain,Qatar
High Jump Men,Bronze,Russia,Ukraine,,,
High Jump Women,Gold,Belgium,Russia,United States,,
High Jump Women,Silver,Croatia,United States,Spain,,
High Jump Women,Bronze,United States,Bulgaria,Croatia,,
Javelin Throw Men,Gold,Norway,Trinidad and Tobago,Germany,,
Javelin Throw Men,Silver,Latvia,Finland,Kenya,,
Javelin Throw Men,Bronze,Finland,Czech Republic,Trinidad and Tobago,,
Javelin Throw Women,Gold,Czech Republic,Czech Republic,Croatia,,
Javelin Throw Women,Silver,Germany,Germany,South Africa,,
Javelin Throw Women,Bronze,Great Britain,Germany,Czech Republic,,
Long Jump Men,Gold,Panama,Great Britain,United States,,
Long Jump Men,Silver,South Africa,Australia,South Africa,,
Long Jump Men,Bronze,Cuba,United States,Great Britain,,
Long Jump Women,Gold,Brazil,United States,United States,,
Long Jump Women,Silver,Nigeria,Russia,United States,,
Long Jump Women,Bronze,Jamaica,United States,Serbia,,
Marathon Men,Gold,Kenya,Uganda,Kenya,,
Marathon Men,Silver,Morocco,Kenya,Ethiopia,,
Marathon Men,Bronze,Ethiopia,Kenya,United States,,
Marathon Women,Gold,Romania,Ethiopia,Kenya,,
Marathon Women,Silver,Kenya,Kenya,Bahrain,,
Marathon Women,Bronze,China,Russia,Ethiopia,,
Pole Vault Men,Gold,Australia,France,Brazil,,
Pole Vault Men,Silver,Russia,Germany,France,,
Pole Vault Men,Bronze,United States,Germany,United States,,
Pole Vault Women,Gold,Russia,United States,Greece,,
Pole Vault Women,Silver,United States,Cuba,United States,,
Pole Vault Women,Bronze,Russia,Russia,New Zealand,,
Shot Put Men,Gold,Poland,Poland,United States,,
Shot Put Men,Silver,United States,Germany,United States,,
Shot Put Men,Bronze,Canada,United States,New Zealand,,
Shot Put Women,Gold,New Zealand,New Zealand,United States,,
Shot Put Women,Silver,Cuba,China,New Zealand,,
Shot Put Women,Bronze,China,China,Hungary,,
Triple Jump Men,Gold,Portugal,United States,United States,,
Triple Jump Men,Silver,Great Britain,United States,United States,,
Triple Jump Men,Bronze,Bahamas,Italy,China,,
Triple Jump Women,Gold,Cameroon,Kazakhstan,Colombia,,
Triple Jump Women,Silver,Kazakhstan,Colombia,Venezuela,,
Triple Jump Women,Bronze,Cuba,Ukraine,Kazakhstan,,
