Light Flyweight Men,Gold,China,China,Uzbekistan,,,
Light Flyweight Men,Silver,Mongolia,Thailand,Colombia,,,
Light Flyweight Men,Bronze,Ireland,Cuba,Russia,Ireland,Cuba,United States
Flyweight Men,Gold,Thailand,Cuba,Uzbekistan,,,
Flyweight Men,Silver,Cuba,Mongolia,Venezuela,,,
Flyweight Men,Bronze,Russia,Italy,Russia,Ireland,China,
Bantamweight Men,Gold,Mongolia,Great Britain,Cuba,,,
Bantamweight Men,Silver,Cuba,Ireland,United States,,,
Bantamweight Men,Bronze,Moldova,Mauritius,Cuba,Japan,Russia,Uzbekistan
Featherweight Men,Gold,Ukraine,,,,,
Featherweight Men,Silver,France,,,,,
Featherweight Men,Bronze,Azerbaijan,Turkey,,,,
Lightweight Men,Gold,Russia,Ukraine,Brazil,,,
Lightweight Men,Silver,France,South Korea,France,,,
Lightweight Men,Bronze,Cuba,Armenia,Lithuania,Cuba,Mongolia,Cuba
Light Welterweight Men,Gold,Dominican Republic,Cuba,Uzbekistan,,,
Light Welterweight Men,Silver,Thailand,Ukraine,Azerbaijan,,,
Light Welterweight Men,Bronze,France,Cuba,Italy,Mongolia,Russia,Germany
Welterweight Men,Gold,Kazakhstan,Kazakhstan,Kazakhstan,,,
Welterweight Men,Silver,Cuba,Great Britain,Uzbekistan,,,
Welterweight Men,Bronze,South Korea,China,Russia,Ukraine,France,Morocco
Middleweight Men,Gold,Great Britain,Japan,Cuba,,,
Middleweight Men,Silver,Cuba,Brazil,Uzbekistan,,,
Middleweight Men,Bronze,India,Ireland,Great Britain,Uzbekistan,Mexico,Azerbaijan
Light Heavyweight Men,Gold,China,Russia,Cuba,,,
Light Heavyweight Men,Silver,Ireland,Kazakhstan,Kazakhstan,,,
Light Heavyweight Men,Bronze,Great Britain,Kazakhstan,Ukraine,Brazil,Great Britain,France
Heavyweight Men,Gold,Russia,Ukraine,Russia,,,
Heavyweight Men,Silver,Italy,Italy,Kazakhstan,,,
Heavyweight Men,Bronze,Cuba,United States,Bulgaria,Azerbaijan,Uzbekistan,Cuba
Super Heavyweight Men,Gold,Italy,Great Britain,France,,,
Super Heavyweight Men,Silver,China,Italy,Great Britain,,,
Super Heavyweight Men,Bronze,Ukraine,Great Britain,Azerbaijan,Kazakhstan,Kazakhstan,Croatia
Flyweight Women,Gold,Great Britain,Great Britain,,,,
Flyweight Women,Silver,China,France,,,,
Flyweight Women,Bronze,United States,India,China,Colombia,,
Lightweight Women,Gold,Ireland,France,,,,
Lightweight Women,Silver,Russia,China,,,,
Lightweight Women,Bronze,Tajikistan,Brazil,Russa,Finland,,
Middleweight Women,Gold,United States,United States,,,,
Middleweight Women,Silver,Russia,Netherlands,,,,
Middleweight Women,Bronze,Kazakhstan,China,China,Kazakhstan,,
