Canoe Single Canoe Slalom Men,Gold,Slovakia,France,France
Canoe Single Canoe Slalom Men,Silver,Great Britain,Germany,Slovakia
Canoe Single Canoe Slalom Men,Bronze,Australia,Slovakia,Japan
Canoe Double Slalom Men,Gold,Slovakia,Great Britain,Slovakia
Canoe Double Slalom Men,Silver,Czech Republic,Great Britain,Great Britain
Canoe Double Slalom Men,Bronze,Russia,Slovakia,France
Kayak Slalom Single Men,Gold,Germany,Italy,Great Britain
Kayak Slalom Single Men,Silver,France,Czech Republic,Slovenia
Kayak Slalom Single Men,Bronze,Togo,Germany,Czech Republic
Kayak Slalom Single Women,Gold,Slovakia,France,Spain
Kayak Slalom Single Women,Silver,Australia,Australia,New Zealand
Kayak Slalom Single Women,Bronze,Austria,Spain,Australia
Canoe Single 1000m Men,Gold,Hungary,Germany,Germany
Canoe Single 1000m Men,Silver,Spain,Spain,Brazil
Canoe Single 1000m Men,Bronze,Canada,Canada,Russia
Canoe Single 500m Men,Gold,Russia,,
Canoe Single 500m Men,Silver,Spain,,
Canoe Single 500m Men,Bronze,Ukraine,,
Canoe Double 1000m Men,Gold,Belarus,Germany,Germany
Canoe Double 1000m Men,Silver,Germany,Belarus,Brazil
Canoe Double 1000m Men,Bronze,Hungary,Russia,Ukraine
Canoe Double 500m Men,Gold,China,,
Canoe Double 500m Men,Silver,Russia,,
Canoe Double 500m Men,Bronze,Germany,,
Kayak Single 1000m Men,Gold,Great Britain,Norway,Spain
Kayak Single 1000m Men,Silver,Norway,Canada,Czech Republic
Kayak Single 1000m Men,Bronze,Australia,Germany,Russia
Kayak Single 500m Men,Gold,Australia,,
Kayak Single 500m Men,Silver,Canada,,
Kayak Single 500m Men,Bronze,Great Britain,,
Kayak Single 500m Women,Gold,Ukraine,Hungary,Hungary
Kayak Single 500m Women,Silver,Italy,Ukraine,Denmark
Kayak Single 500m Women,Bronze,Germany,South Africa,New Zealand
Kayak Double 1000m Men,Gold,Germany,Hungary,Germany
Kayak Double 1000m Men,Silver,Denmark,Portugal,Serbia
Kayak Double 1000m Men,Bronze,Italy,Germany,Australia
Kayak Double 500m Men,Gold,Spain,,
Kayak Double 500m Men,Silver,Germany,,
Kayak Double 500m Men,Bronze,Belarus,,
Kayak Double 500m Women,Gold,Hungary,Germany,Hungary
Kayak Double 500m Women,Silver,Poland,Hungary,Germany
Kayak Double 500m Women,Bronze,France,Poland,Poland
Kayak 4-Men 1000m,Gold,Belarus,Australia,Germany
Kayak 4-Men 1000m,Silver,Slovakia,Hungary,Slovakia
Kayak 4-Men 1000m,Bronze,Germany,Czech Republic,Czech Republic
Kayak 4-Women 500m,Gold,Germany,Hungary,Hungary
Kayak 4-Women 500m,Silver,Hungary,Germany,Germany
Kayak 4-Women 500m,Bronze,Australia,Belarus,Belarus
Canoe Single 200m Men,Gold,Ukraine,Ukraine,
Canoe Single 200m Men,Silver,Russia,Azerbaijan,
Canoe Single 200m Men,Bronze,Spain,Brazil,
Kayak Single 200m Men,Gold,Great Britain,Great Britain,
Kayak Single 200m Men,Silver,Spain,France,
Kayak Single 200m Men,Bronze,Canada,Spain,Germany
Kayak Single 200m Women,Gold,New Zealand,New Zealand,
Kayak Single 200m Women,Silver,Ukraine,Poland,
Kayak Single 200m Women,Bronze,Hungary,Azerbaijan,
Kayak Double 200m Men,Gold,Russia,Spain,
Kayak Double 200m Men,Silver,Belarus,Great Britain,
Kayak Double 200m Men,Bronze,Great Britain,Lithuania,
