BMX Individual Men,Gold,Latvia,Latvia,United States,
BMX Individual Men,Silver,United States,Australia,Netherlands,
BMX Individual Men,Bronze,United States,Colombia,Colombia,
BMX Individual Women,Gold,France,Colombia,Colombia,
BMX Individual Women,Silver,France,New Zealand,United States,
BMX Individual Women,Bronze,United States,Netherlands,Venezuela,
Mountain Biking Cross Country Men,Gold,France,Czech Republic,Switzerland,
Mountain Biking Cross Country Men,Silver,France,Switzerland,Czech Republic,
Mountain Biking Cross Country Men,Bronze,Switzerland,Italy,Spain,
Mountain Biking Cross Country Women,Gold,Germany,France,Sweden,
Mountain Biking Cross Country Women,Silver,Poland,Germany,Poland,
Mountain Biking Cross Country Women,Bronze,Russia,United States,Canada,
Individual Road Race Men,Gold,Spain,Kazakhstan,Belgium,
Individual Road Race Men,Silver,Switzerland,Colombia,Denmark,
Individual Road Race Men,Bronze,Russia,Norway,Poland,
Individual Road Race Women,Gold,Great Britain,Netherlands,Netherlands,
Individual Road Race Women,Silver,Sweden,Great Britain,Sweden,
Individual Road Race Women,Bronze,Italy,Russia,Italy,
Individual Time Trial Men,Gold,Switzerland,Great Britain,Switzerland,
Individual Time Trial Men,Silver,Sweden,Germany,Netherlands,
Individual Time Trial Men,Bronze,United States,Great Britain,Great Britain,
Individual Time Trial Women,Gold,United States,United States,United States,
Individual Time Trial Women,Silver,Great Britain,Germany,Russia,
Individual Time Trial Women,Bronze,Switzerland,Russia,Netherlands,
Individual Pursuit Men,Gold,Great Britain,,,
Individual Pursuit Men,Silver,New Zealand,,,
Individual Pursuit Men,Bronze,Great Britain,,,
Keirin Men,Gold,Great Britain,Great Britain,Great Britain,
Keirin Men,Silver,Great Britain,Germany,Netherlands,
Keirin Men,Bronze,Japan,Netherlands,New Zealand,Malaysia
Madison Men,Gold,Argentina,,,
Madison Men,Silver,Spain,,,
Madison Men,Bronze,Russia,,,
Points Race Men,Gold,Spain,,,
Points Race Men,Silver,Germany,,,
Points Race Men,Bronze,Great Britain,,,
Sprint Men,Gold,Great Britain,Great Britain,Great Britain,
Sprint Men,Silver,Great Britain,France,Great Britain,
Sprint Men,Bronze,France,Australia,Russia,
Team Pursuit 4000m Men,Gold,Great Britain,Great Britain,Great Britain,
Team Pursuit 4000m Men,Silver,Denmark,Australia,Australia,
Team Pursuit 4000m Men,Bronze,New Zealand,New Zealand,Denmark,
Team Sprint Men,Gold,Great Britain,Great Britain,Great Britain,
Team Sprint Men,Silver,France,France,New Zealand,
Team Sprint Men,Bronze,Germany,Germany,France,
Individual Pursuit Women,Gold,Great Britain,,,
Individual Pursuit Women,Silver,Great Britain,,,
Individual Pursuit Women,Bronze,Ukraine,,,
Points Race Women,Gold,Netherlands,,,
Points Race Women,Silver,Cuba,,,
Points Race Women,Bronze,Spain,,,
Sprint Women,Gold,Great Britain,Australia,Germany,
Sprint Women,Silver,Australia,Great Britain,Great Britain,
Sprint Women,Bronze,China,China,Great Britain,
Keirin Women,Gold,Great Britain,Netherlands,,
Keirin Women,Silver,China,Great Britain,,
Keirin Women,Bronze,Hong Kong,Australia,,
Omnium Men,Gold,Denmark,Italy,,
Omnium Men,Silver,France,Great Britain,,
Omnium Men,Bronze,Great Britain,Denmark,,
Omnium Women,Gold,Great Britain,Great Britain,,
Omnium Women,Silver,United States,United States,,
Omnium Women,Bronze,Australia,Belgium,,
Team Pursuit 3000m Women,Gold,Great Britain,Great Britain,,
Team Pursuit 3000m Women,Silver,United States,United States,,
Team Pursuit 3000m Women,Bronze,Canada,Canada,,
Team Sprint Women,Gold,Germany,China,,
Team Sprint Women,Silver,China,Russia,,
Team Sprint Women,Bronze,Australia,Germany,,
