10m Platform Men,Gold,Australia,United States,China
10m Platform Men,Silver,China,China,Mexico
10m Platform Men,Bronze,Russia,Great Britain,United States
10m Platform Women,Gold,China,China,China
10m Platform Women,Silver,Canada,Australia,China
10m Platform Women,Bronze,China,Malaysia,Canada
3m Springboard Men,Gold,China,Russia,China
3m Springboard Men,Silver,Canada,China,Great Britain
3m Springboard Men,Bronze,China,China,Germany
3m Springboard Women,Gold,China,China,China
3m Springboard Women,Silver,Russia,China,China
3m Springboard Women,Bronze,China,Mexico,Italy
Synchronized 10m Platform Men,Gold,China,China,China
Synchronized 10m Platform Men,Silver,Germany,Mexico,United States
Synchronized 10m Platform Men,Bronze,Russia,United States,Great Britain
Synchronized 10m Platform Women,Gold,China,China,China
Synchronized 10m Platform Women,Silver,Australia,Mexico,Malaysia
Synchronized 10m Platform Women,Bronze,Mexico,Canada,Canada
Synchronized 3m Springboard Men,Gold,China,China,Great Britain
Synchronized 3m Springboard Men,Silver,Russia,Russia,United States
Synchronized 3m Springboard Men,Bronze,Ukraine,United States,China
Synchronized 3m Springboard Women,Gold,China,China,China
Synchronized 3m Springboard Women,Silver,Russia,United States,Italy
Synchronized 3m Springboard Women,Bronze,Germany,Canada,Australia
