Dressage Individual Mixed,Gold,Netherlands,Great Britain,Great Britain
Dressage Individual Mixed,Silver,Germany,Netherlands,Germany
Dressage Individual Mixed,Bronze,Germany,Great Britain,Germany
Dressage Team Mixed,Gold,Germany,Great Britain,Germany
Dressage Team Mixed,Silver,Netherlands,Germany,Great Britain
Dressage Team Mixed,Bronze,Denmark,Netherlands,United States
Eventing Individual Mixed,Gold,Germany,Germany,Germany
Eventing Individual Mixed,Silver,United States,Sweden,France
Eventing Individual Mixed,Bronze,Great Britain,Germany,United States
Eventing Team Mixed,Gold,Germany,Germany,France
Eventing Team Mixed,Silver,Australia,Great Britain,Germany
Eventing Team Mixed,Bronze,Great Britain,New Zealand,Australia
Jumping Individual Mixed,Gold,Canada,Switzerland,Great Britain
Jumping Individual Mixed,Silver,Sweden,Netherlands,Sweden
Jumping Individual Mixed,Bronze,United States,Ireland,Canada
Jumping Team Mixed,Gold,United States,Great Britain,France
Jumping Team Mixed,Silver,Canada,Netherlands,United States
Jumping Team Mixed,Bronze,Switzerland,Saudi Arabia,Germany
