Foil Individual Men,Gold,Germany,China,Italy
Foil Individual Men,Silver,Japan,Egypt,United States
Foil Individual Men,Bronze,Italy,South Korea,Russia
Foil Individual Women,Gold,Italy,Italy,Russia
Foil Individual Women,Silver,South Korea,Italy,Italy
Foil Individual Women,Bronze,Italy,Italy,Tunisia
Foil Team Women,Gold,Russia,Italy,
Foil Team Women,Silver,United States,Russia,
Foil Team Women,Bronze,Italy,South Korea,
Sabre Individual Men,Gold,China,Hungary,Hungary
Sabre Individual Men,Silver,France,Italy,United States
Sabre Individual Men,Bronze,Romania,Russia,South Korea
Sabre Individual Women,Gold,United States,South Korea,Russia
Sabre Individual Women,Silver,United States,Russia,Russia
Sabre Individual Women,Bronze,United States,Ukraine,Ukraine
Sabre Team Men,Gold,France,South Korea,
Sabre Team Men,Silver,United States,Romania,
Sabre Team Men,Bronze,Italy,Italy,
Sabre Team Women,Gold,Ukraine,Russia,
Sabre Team Women,Silver,China,Ukraine,
Sabre Team Women,Bronze,United States,United States,
Epee Individual Men,Gold,Italy,Venezuela,South Korea
Epee Individual Men,Silver,France,Norway,Hungary
Epee Individual Men,Bronze,Spain,South Korea,France
Epee Individual Women,Gold,Germany,Ukraine,Hungary
Epee Individual Women,Silver,Romania,Germany,Italy
Epee Individual Women,Bronze,Hungary,China,China
Epee Team Men,Gold,France,France,
Epee Team Men,Silver,Poland,Italy,
Epee Team Men,Bronze,Italy,Hungary,
Foil Team Men,Gold,Italy,Russia,
Foil Team Men,Silver,Japan,France,
Foil Team Men,Bronze,Germany,United States,
Epee Team Women,Gold,China,Romania,
Epee Team Women,Silver,South Korea,China,
Epee Team Women,Bronze,United States,Russia,
