Heavyweight Men,Gold,Japan,France,France,,,
Heavyweight Men,Silver,Uzbekistan,Russia,Japan,,,
Heavyweight Men,Bronze,Cuba,France,Brazil,Germany,Brazil,Israel
Extra Lightweight Women,Gold,Romania,Brazil,Argentina,,,
Extra Lightweight Women,Silver,Cuba,Romania,South Korea,,,
Extra Lightweight Women,Bronze,Argentina,Japan,Belgium,Hungary,Japan,Kazakhstan
Extra Lightweight Men,Gold,South Korea,Russia,Russia,,,
Extra Lightweight Men,Silver,Austria,Japan,Kazakhstan,,,
Extra Lightweight Men,Bronze,Netherlands,Uzbekistan,Uzbekistan,Brazil,Uzbekistan,Japan
Half Lightweight Women,Gold,China,North Korea,Kosovo,,,
Half Lightweight Women,Silver,North Korea,Cuba,Italy,,,
Half Lightweight Women,Bronze,Japan,Algeria,Italy,France,Japan,Netherlands
Lightweight Women,Gold,Italy,Japan,Brazil,,,
Lightweight Women,Silver,Netherlands,Romania,Mongolia,,,
Lightweight Women,Bronze,China,Brazil,France,United States,Portugal,Japan
Half Middleweight Women,Gold,Japan,Slovenia,Slovenia,,,
Half Middleweight Women,Silver,France,China,France,,,
Half Middleweight Women,Bronze,North Korea,Netherlands,France,Japan,Israel,Netherlands
Half Lightweight Men,Gold,Japan,Georgia,Italy,,,
Half Lightweight Men,Silver,France,Hungary,South Korea,,,
Half Lightweight Men,Bronze,North Korea,Cuba,South Korea,Japan,Uzbekistan,Japan
Middleweight Women,Gold,Japan,France,Japan,,,
Middleweight Women,Silver,Cuba,Germany,Colombia,,,
Middleweight Women,Bronze,Netherlands,United States,Colombia,Netherlands,Germany,Great Britain
Lightweight Men,Gold,Azerbaijan,Russia,Japan,,,
Lightweight Men,Silver,South Korea,Japan,Azerbaijan,,,
Lightweight Men,Bronze,Tajikistan,Brazil,France,Mongolia,Belgium,Georgia
Half Heavyweight Women,Gold,China,United States,United States,,,
Half Heavyweight Women,Silver,Cuba,Great Britain,France,,,
Half Heavyweight Women,Bronze,South Korea,France,Brazil,France,Slovenia,Brazil
Half Middleweight Men,Gold,Germany,South Korea,Russia,,,
Half Middleweight Men,Silver,South Korea,Germany,United States,,,
Half Middleweight Men,Bronze,Brazil,Ukraine,Canada,Russia,United Arab Emirates,Japan
Heavyweight Women,Gold,China,Cuba,France,,,
Heavyweight Women,Silver,Japan,Japan,Cuba,,,
Heavyweight Women,Bronze,Slovenia,Cuba,Great Britain,China,China,Japan
Middleweight Men,Gold,Georgia,South Korea,Japan,,,
Middleweight Men,Silver,Algeria,Cuba,Georgia,,,
Middleweight Men,Bronze,Egypt,Switzerland,Greece,Japan,South Korea,China
Half Heavyweight Men,Gold,Mongolia,Russia,Czech Republic,,,
Half Heavyweight Men,Silver,Kazakhstan,Mongolia,Azerbaijan,,,
Half Heavyweight Men,Bronze,Azerbaijan,Netherlands,Netherlands,Germany,France,Japan
