Lightweight Women,South Korea,Great Britain,Great Britain,,,
Lightweight Women,Turkey,China,Spain,,,
Lightweight Women,Croatia,United States,Chinese Taipei,France,Egypt,Iran
Middleweight Women,South Korea,South Korea,South Korea,,,
Middleweight Women,Canada,Turkey,France,,,
Middleweight Women,Croatia,France,Germany,United States,Turkey,Cote d'Ivoire
Lightweight Men,South Korea,Turkey,Jordan,,,
Lightweight Men,United States,Iran,Russia,,,
Lightweight Men,Turkey,Chinese Taipei,United States,Afghanistan,Spain,South Korea
Heavyweight Women,Mexico,Serbia,China,,,
Heavyweight Women,Norway,France,Mexico,,,
Heavyweight Women,Great Britain,Brazil,Russia,Mexico,Great Britain,United States
Middleweight Men,Iran,Argentina,Cote d'Ivoire,,,
Middleweight Men,Italy,Spain,Great Britain,,,
Middleweight Men,United States,China,Italy,Great Britain,Tunisia,Azerbaijan
Heavyweight Men,South Korea,Italy,Azerbaijan,,,
Heavyweight Men,Greece,Gabon,Niger,,,
Heavyweight Men,Nigeria,Kazakhstan,China,Cuba,Brazil,South Korea
Flyweight Women,China,China,South Korea,,,
Flyweight Women,Thailand,Spain,Serbia,,,
Flyweight Women,Cuba,Venezuela,Croatia,Thailand,Thailand,Azerbaijan
Flyweight Men,Mexico,Spain,China,,,
Flyweight Men,Dominican Republic,South Korea,Thailand,,,
Flyweight Men,Chinese Taipei,Afghanistan,Colombia,Russia,South Korea,Dominican Republic
