Men's Beach,Gold,United States,Germany,Brazil
Men's Beach,Silver,Brazil,Brazil,Italy
Men's Beach,Bronze,Brazil,Latvia,Netherlands
Women's Beach,Gold,United States,United States,Germany
Women's Beach,Silver,China,United States,Brazil
Women's Beach,Bronze,China,Brazil,United States
Men's Indoor,Gold,United States,Russia,Brazil
Men's Indoor,Silver,Brazil,Brazil,Italy
Men's Indoor,Bronze,Russia,Italy,United States
Women's Indoor,Gold,Brazil,Brazil,China
Women's Indoor,Silver,United States,United States,Serbia
Women's Indoor,Bronze,China,Japan,United States
